,이름,가격,평점,URL,파일이름
18,"티젠 콤부차 파인애플, 5g, 50개입, 1개","17,110",5.0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2307689927570509-39d80dd6-3c97-4f5b-bed0-a1f86e5a0fb1.jpg,"/Users/choejong-gyu/Desktop/image//19등,티젠 콤부차 파인애플, 5g, 50개입, 1개.jpg"
19,"한양식품 숏다리, 20g, 30개","36,440",4.5,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/02/13/7/e3d62d86-c897-469f-bacf-c8699aff961e.jpg,"/Users/choejong-gyu/Desktop/image//20등,한양식품 숏다리, 20g, 30개.jpg"
20,"종근당건강 락토핏 골드, 160g, 1개","18,500",5.0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4343601915698949-8bb188e5-7bc9-4314-8162-98f9c9d69ee5.jpg,"/Users/choejong-gyu/Desktop/image//21등,종근당건강 락토핏 골드, 160g, 1개.jpg"
21,"핫식스 오리지널 에너지음료, 250ml, 60개","39,300",5.0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/724583253067816-2a592c32-2326-4301-abfd-48d9a67cfa7d.jpg,"/Users/choejong-gyu/Desktop/image//22등,핫식스 오리지널 에너지음료, 250ml, 60개.jpg"
22,"솔가 철분 25, 180정, 1개","42,070",5.0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1652730028719150-d5fbcb8f-0536-4212-bbdf-434ae37f66ec.jpg,"/Users/choejong-gyu/Desktop/image//23등,솔가 철분 25, 180정, 1개.jpg"
23,"핫식스 오리지널 에너지 드링크, 250ml, 30개","19,910",5.0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3058107459075249-8cc33e21-dcd2-4e2f-8d62-0a3a4d58c223.jpg,"/Users/choejong-gyu/Desktop/image//24등,핫식스 오리지널 에너지 드링크, 250ml, 30개.jpg"
24,"루솔 진한 배도라지즙 선물세트, 40개, 100ml","39,650",5.0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/b6c1fd92-6e42-44c0-b5d4-59c581c8a2293565662110065870318.png,"/Users/choejong-gyu/Desktop/image//25등,루솔 진한 배도라지즙 선물세트, 40개, 100ml.jpg"
25,"내츄럴플러스 프로폴리스 1000, 180정, 1개","17,650",5.0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3669931201604671-f549791d-1ea7-422f-885b-5aeee14097b2.jpg,"/Users/choejong-gyu/Desktop/image//26등,내츄럴플러스 프로폴리스 1000, 180정, 1개.jpg"
26,"티젠 콤부차 피치, 5g, 50개입, 1개","16,500",5.0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/557264431077381-faabfdf3-074d-4a9a-baad-4a04d43c3985.jpg,"/Users/choejong-gyu/Desktop/image//27등,티젠 콤부차 피치, 5g, 50개입, 1개.jpg"
27,"센트룸 우먼 멀티비타민 미네랄 1 435mg 71.75g, 50정, 1개","23,400",5.0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5757116461604514-bef22745-c90c-45bf-ac12-28211eed7834.jpg,"/Users/choejong-gyu/Desktop/image//28등,센트룸 우먼 멀티비타민 미네랄 1 435mg 71.75g, 50정, 1개.jpg"
