N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
120,DB하이텍,"54,200","1,100",-1.99%,"5,000","24,064","44,399",19.93,"174,547",6.09,40.73,
121,키움증권,"91,600","3,600",-3.78%,"5,000","24,024","26,227",24.34,"102,563",3.90,11.50,
122,한화생명,"2,760",5,-0.18%,"5,000","23,971","868,530",9.42,"665,192",2.34,9.05,
123,TIGER 미국나스닥100,"89,230",250,-0.28%,0,"23,931","26,820",0.09,"49,811",N/A,N/A,
124,한미사이언스,"34,150",600,-1.73%,500,"23,890","69,957",1.82,"66,835",27.17,9.78,
125,휠라홀딩스,"38,650",600,-1.53%,"1,000","23,481","60,752",43.44,"42,137",9.47,19.71,
126,제일기획,"20,250",0,0.00%,200,"23,296","115,041",26.86,"96,435",12.10,16.64,
127,BNK금융지주,"7,000",0,0.00%,"5,000","22,546","322,088",34.31,"444,783",3.01,8.43,
128,KODEX 레버리지,"15,190",185,-1.20%,0,"22,344","147,100",0.30,"11,394,502",N/A,N/A,
129,LG화학우,"290,000","5,000",-1.69%,"5,000","22,298","7,689",56.36,"23,007",15.17,N/A,
130,롯데쇼핑,"77,700","1,900",-2.39%,"5,000","21,980","28,289",8.76,"55,791",-9.45,-3.30,
131,이마트,"78,500","1,300",-1.63%,"5,000","21,883","27,876",25.22,"71,754",10.80,9.59,
132,LIG넥스원,"98,800","5,400",+5.78%,"5,000","21,736","22,000",13.87,"379,076",16.93,14.48,
133,TIGER 차이나전기차SOLACTIVE,"8,355",60,-0.71%,0,"21,409","256,240",0.31,"1,892,287",N/A,N/A,
134,한국가스공사,"23,100",0,0.00%,"5,000","21,324","92,313",5.07,"90,249",3.14,15.67,
135,KCC,"239,500","5,000",-2.04%,"5,000","21,283","8,886",12.20,"15,051",-49.56,0.67,
136,에스원,"55,500",400,+0.73%,500,"21,090","37,999",54.49,"33,431",13.26,10.19,
137,JB금융지주,"10,660",210,-1.93%,"5,000","20,998","196,983",33.99,"269,831",3.46,13.76,
138,한전기술,"54,000","1,300",-2.35%,200,"20,639","38,220",4.10,"53,727",59.02,3.40,
139,TIGER 미국S&P500,"14,315",25,-0.17%,0,"19,941","139,300",0.17,"1,006,583",N/A,N/A,
140,OCI홀딩스,"100,600","2,100",-2.04%,"5,000","19,932","19,813",20.68,"35,950",1.89,25.21,
141,LS ELECTRIC,"65,700","1,200",-1.79%,"5,000","19,710","30,000",18.32,"122,111",12.83,5.95,
142,KODEX 200TR,"11,125",60,-0.54%,0,"19,458","174,900",0.00,"313,106",N/A,N/A,
143,한솔케미칼,"168,800","1,500",+0.90%,"5,000","19,134","11,335",35.05,"34,510",15.26,21.36,
144,씨에스윈드,"45,350","3,100",-6.40%,500,"19,125","42,171",11.65,"521,565",73.50,-0.11,
145,삼아알미늄,"129,200","3,400",+2.70%,500,"19,008","14,712",38.80,"58,750",139.52,13.24,
146,현대엘리베이,"48,200",550,+1.15%,"5,000","18,843","39,092",25.27,"81,770",6.49,6.89,
147,롯데에너지머티리얼즈,"40,200","1,300",-3.13%,500,"18,537","46,111",8.15,"153,553",-95.04,3.58,
148,CJ대한통운,"79,600",0,0.00%,"5,000","18,159","22,812",14.14,"66,836",9.48,5.09,
149,한화,"24,200",150,+0.62%,"5,000","18,140","74,959",13.38,"128,486",2.29,24.47,
150,효성중공업,"193,400","8,400",+4.54%,"5,000","18,034","9,325",10.31,"103,436",29.16,1.07,
151,동서,"17,770",90,-0.50%,500,"17,717","99,700",3.59,"28,724",9.81,11.33,
152,한올바이오파마,"33,600","1,400",-4.00%,500,"17,553","52,241",7.29,"920,478",270.97,0.15,
153,대우건설,"4,165",45,+1.09%,"5,000","17,311","415,623",11.71,"771,663",2.99,14.55,
154,이수페타시스,"27,150","1,150",+4.42%,"1,000","17,171","63,246",9.12,"2,110,938",20.08,58.92,
155,효성첨단소재,"375,500","16,000",-4.09%,"5,000","16,822","4,480",6.26,"20,215",24.45,19.11,
156,신세계,"170,700","1,600",-0.93%,"5,000","16,806","9,845",14.28,"24,904",4.23,10.34,
157,TIGER 미국테크TOP10 INDXX,"14,105",65,-0.46%,0,"16,115","114,250",0.23,"419,781",N/A,N/A,
158,삼양식품,"211,000","1,500",-0.71%,"5,000","15,895","7,533",12.59,"44,319",17.57,18.92,
159,효성티앤씨,"364,500","4,500",-1.22%,"5,000","15,774","4,328",9.66,"16,102",-49.03,0.88,
